frame,CR_matlab,inputBits,totalBits,CR_pad_per_frame,CR_pad_per_ramp
0,3.33117095594659,3145728,944331,3.33098400650583,3.2
1,3.32690456901967,3145728,945542,3.3264753654575,3.2
2,3.32174739443089,3145728,947010,3.32108108108108,3.2
3,3.31233165772,3145728,949702,3.31212938005391,3.2
4,3.30276454586211,3145728,952453,3.30233808116098,3.2
5,3.31138325891024,3145728,949974,3.31123686337914,3.2
6,3.32402539834165,3145728,946361,3.32377603462267,3.2
7,3.32997907203475,3145728,944669,3.32917908425901,3.2
8,3.32991914773798,3145728,944686,3.32917908425901,3.2
9,3.32614826007103,3145728,945757,3.3255751014885,3.2
10,3.32077606892103,3145728,947287,3.32018373412591,3.2
11,3.31257233057402,3145728,949633,3.31212938005391,3.2
12,3.30185973964904,3145728,952714,3.30145083288555,3.2
13,3.31164819801705,3145728,949898,3.31123686337914,3.2
14,3.33388938288039,3145728,943561,3.33369506239826,3.2
15,3.37402824732714,3145728,932336,3.37397034596376,3.36842105263158
16,3.34704613066738,3145728,939852,3.34640522875817,3.2
17,3.30317724663826,3145728,952334,3.30233808116098,3.2
18,3.17408207517756,3145728,991067,3.17355371900826,3.04761904761905
19,3.25832259561404,3145728,965444,3.2576882290562,3.2
20,3.25930837836942,3145728,965152,3.25855210819411,3.2
21,3.23288330090921,3145728,973041,3.23283346487766,3.2
22,3.25199338793764,3145728,967323,3.25165387668695,3.2
23,3.32697494082634,3145728,945522,3.3264753654575,3.2
24,3.40281768147046,3145728,924448,3.40199335548173,3.36842105263158
25,3.32915794442175,3145728,944902,3.32827735644637,3.2
26,3.3952005456967,3145728,926522,3.39447513812155,3.36842105263158
27,3.41547170917556,3145728,921023,3.41523068371317,3.36842105263158
28,3.41459676377653,3145728,921259,3.41428174492915,3.36842105263158
29,3.43155602777772,3145728,916706,3.43144373080145,3.36842105263158
30,3.4698080741231,3145728,906600,3.46922642574817,3.36842105263158
31,3.44619105994327,3145728,912813,3.44587773415592,3.36842105263158
32,3.45283714722256,3145728,911056,3.45265524023602,3.36842105263158
33,3.4321288567055,3145728,916553,3.43144373080145,3.36842105263158
34,3.3156238834098,3145728,948759,3.31480981926086,3.2
35,3.39233735646562,3145728,927304,3.39166436654706,3.36842105263158
36,3.40074658571628,3145728,925011,3.40011068068622,3.36842105263158
37,3.31400662858636,3145728,949222,3.31391585760518,3.2
38,3.2551835467598,3145728,966375,3.25509933774834,3.2
39,3.34592471337539,3145728,940167,3.34549414647427,3.2
40,3.30342352900407,3145728,952263,3.30322580645161,3.2
41,3.22159000135183,3145728,976452,3.22096985583224,3.2
42,3.28642305751529,3145728,957189,3.2855614973262,3.2
43,3.26266856677018,3145728,964158,3.26201221130873,3.2
44,3.23763473728738,3145728,971613,3.23709167544784,3.2
45,3.24342983697933,3145728,969877,3.243072050673,3.2
46,3.25250110631821,3145728,967172,3.25165387668695,3.2
47,3.18764553883569,3145728,986850,3.1875486381323,3.04761904761905
48,3.04360883632367,3145728,1033552,3.04309063893016,2.90909090909091
49,2.93924047794351,3145728,1070252,2.93900980626644,2.90909090909091
