nC    cMu     mMu     nlDB    dSp      refDet       NF      SNR       CR       FN
200   -2.40   0.40    -82     40          190   -82.22    35.74     1.43     0.00
200   -2.40   0.40    -82     80          205   -82.23    35.54     1.40     0.00
200   -2.40   0.40    -78     40          190   -78.42    31.93     1.30     0.00
200   -2.40   0.40    -78     80          205   -78.42    31.73     1.28     0.00
200   -2.40   0.55    -82     40          190   -82.22    35.87     1.42     0.00
200   -2.40   0.55    -82     80          205   -82.24    35.67     1.39     0.00
200   -2.40   0.55    -78     40          190   -78.42    32.06     1.30     0.00
200   -2.40   0.55    -78     80          205   -78.43    31.86     1.28     0.00
200   -2.20   0.40    -82     40          190   -82.23    39.35     1.40     0.00
200   -2.20   0.40    -82     80          205   -82.24    39.17     1.36     0.00
200   -2.20   0.40    -78     40          190   -78.43    35.55     1.28     0.00
200   -2.20   0.40    -78     80          205   -78.43    35.35     1.26     0.00
200   -2.20   0.55    -82     40          190   -82.23    39.41     1.40     0.00
200   -2.20   0.55    -82     80          205   -82.24    39.22     1.35     0.00
200   -2.20   0.55    -78     40          190   -78.42    35.60     1.28     0.00
200   -2.20   0.55    -78     80          205   -78.43    35.41     1.26     0.00
200   -2.05   0.40    -82     40          193   -82.24    41.40     1.38     0.00
200   -2.05   0.40    -82     80          205   -82.25    41.27     1.33     0.00
200   -2.05   0.40    -78     40          193   -78.43    37.59     1.27     0.00
200   -2.05   0.40    -78     80          205   -78.43    37.46     1.24     0.00
200   -2.05   0.55    -82     40          193   -82.24    41.43     1.38     0.00
200   -2.05   0.55    -82     80          205   -82.25    41.31     1.33     0.00
200   -2.05   0.55    -78     40          193   -78.43    37.62     1.27     0.00
200   -2.05   0.55    -78     80          205   -78.44    37.50     1.24     0.00
280   -2.40   0.40    -82     40          256   -82.22    35.98     1.40     0.00
280   -2.40   0.40    -82     80          274   -82.22    35.78     1.36     0.00
280   -2.40   0.40    -78     40          254   -78.40    32.18     1.28     0.00
280   -2.40   0.40    -78     80          274   -78.40    31.98     1.26     0.36
280   -2.40   0.55    -82     40          256   -82.21    36.07     1.40     0.00
280   -2.40   0.55    -82     80          274   -82.22    35.87     1.35     0.00
280   -2.40   0.55    -78     40          254   -78.40    32.27     1.28     0.00
280   -2.40   0.55    -78     80          274   -78.40    32.07     1.26     0.36
280   -2.20   0.40    -82     40          258   -82.22    39.68     1.37     0.00
280   -2.20   0.40    -82     80          274   -82.22    39.50     1.31     0.00
280   -2.20   0.40    -78     40          258   -78.41    35.88     1.27     0.00
280   -2.20   0.40    -78     80          274   -78.41    35.69     1.23     0.00
280   -2.20   0.55    -82     40          258   -82.22    39.72     1.37     0.00
280   -2.20   0.55    -82     80          274   -82.22    39.53     1.31     0.00
280   -2.20   0.55    -78     40          258   -78.41    35.92     1.26     0.00
280   -2.20   0.55    -78     80          274   -78.41    35.73     1.23     0.00
280   -2.05   0.40    -82     40          262   -82.22    41.76     1.35     0.00
280   -2.05   0.40    -82     80          275   -82.23    41.62     1.27     0.00
280   -2.05   0.40    -78     40          261   -78.41    37.96     1.25     0.00
280   -2.05   0.40    -78     80          275   -78.42    37.81     1.20     0.00
280   -2.05   0.55    -82     40          262   -82.22    41.78     1.34     0.00
280   -2.05   0.55    -82     80          275   -82.24    41.65     1.27     0.00
280   -2.05   0.55    -78     40          261   -78.41    37.98     1.25     0.00
280   -2.05   0.55    -78     80          275   -78.42    37.83     1.20     0.00
360   -2.40   0.40    -82     40          306   -82.22    36.19     1.39     0.00
360   -2.40   0.40    -82     80          332   -82.22    35.87     1.33     0.00
360   -2.40   0.40    -78     40          306   -78.40    32.38     1.28     0.00
360   -2.40   0.40    -78     80          333   -78.40    32.05     1.25     0.00
360   -2.40   0.55    -82     40          306   -82.22    36.26     1.38     0.00
360   -2.40   0.55    -82     80          332   -82.22    35.95     1.33     0.00
360   -2.40   0.55    -78     40          306   -78.40    32.45     1.27     0.00
360   -2.40   0.55    -78     80          333   -78.40    32.12     1.24     0.00
360   -2.20   0.40    -82     40          307   -82.23    39.87     1.35     0.00
360   -2.20   0.40    -82     80          332   -82.23    39.57     1.28     0.00
360   -2.20   0.40    -78     40          307   -78.41    36.05     1.25     0.00
360   -2.20   0.40    -78     80          332   -78.41    35.75     1.21     0.00
360   -2.20   0.55    -82     40          307   -82.23    39.90     1.34     0.00
360   -2.20   0.55    -82     80          332   -82.23    39.60     1.27     0.00
360   -2.20   0.55    -78     40          307   -78.41    36.09     1.25     0.00
360   -2.20   0.55    -78     80          332   -78.41    35.78     1.21     0.00
360   -2.05   0.40    -82     40          312   -82.23    41.98     1.32     0.00
360   -2.05   0.40    -82     80          337   -82.22    41.71     1.24     0.30
360   -2.05   0.40    -78     40          313   -78.41    38.16     1.24     0.00
360   -2.05   0.40    -78     80          337   -78.41    37.90     1.18     0.00
360   -2.05   0.55    -82     40          312   -82.23    42.00     1.31     0.00
360   -2.05   0.55    -82     80          337   -82.22    41.73     1.23     0.30
360   -2.05   0.55    -78     40          313   -78.41    38.18     1.23     0.00
360   -2.05   0.55    -78     80          337   -78.41    37.92     1.18     0.30
