noiseType      params                   refDet       NF      SNR       CR       FN       FP
white          baseline AWGN               160   -71.03    23.81     1.11     0.00     0.00
ar1_slow       rho=0.5                     163   -72.40    25.13     1.15     0.00     0.00
ar1_slow       rho=0.9                    1057   -79.83    25.78     1.33     7.57     3.60
ar1_slow       rho=0.99                    950   -87.75    34.29     1.61    32.00     7.16
ar1_slow       rho=0.999                   938   -92.00    41.13     1.79    67.48     5.65
ar1_fast       rho=0.9 (range)            1269   -79.81    25.20     1.29     8.27     4.10
colored_slow   bw=0.05                    1644   -93.25    37.98     1.55    18.07     6.81
colored_slow   bw=0.2                     4564   -91.93    32.44     1.23    17.81     6.20
pink_slow      1/f slow                    391   -75.42    24.97     1.22     4.35     3.07
mixed          rho.99 alpha.30             167   -72.25    24.96     1.13     0.00     0.60
mixed          rho.99 alpha.50             172   -73.53    26.17     1.16     0.00     0.58
mixed          rho.99 alpha.70             183   -75.47    27.82     1.21     0.00     2.19
mixed          rho.99 alpha.90             278   -79.48    30.29     1.33     3.96     2.16
mixed          rho.999 alpha.70            155   -75.89    28.70     1.21     0.00     0.00
mixed          rho.999 alpha.90            155   -80.28    33.04     1.34     0.00     0.65
