frame,CR_matlab,CR_quantised,CR_pad_frame,inputBits,totalBits_q,overheadBits,CR_vitis,MaxDiff_vitis,outBits_vitis,deltaCR,predErr,padBits
0,3.40480285396073,3.4047881131665,3.40387811634349,3145728,923913,32768,3.40388,0,924160,0.00090811316650008,-1.88365650988231e-06,247
1,3.40203750567776,3.40204118491249,3.40199335548173,3145728,924659,32768,3.40199,0,924672,5.11849124897878e-05,3.35548172980538e-06,13
2,3.40061791521719,3.40061056291133,3.40011068068622,3145728,925048,32768,3.40011,0,925184,0.000500562911329716,6.80686219833859e-07,136
3,3.39210690050433,3.39209592719195,3.39166436654706,3145728,927370,32768,3.39166,0,927488,0.000435927191950292,4.36654705993078e-06,118
4,3.38615153100437,3.38616246589056,3.38605676494902,3145728,928995,32768,3.38606,0,929024,0.000102465890559955,-3.23505097998833e-06,29
5,3.39070654810024,3.39068827438278,3.38979310344828,3145728,927755,32768,3.38979,0,928000,0.000898274382779896,3.10344828013953e-06,245
6,3.40105543464511,3.40105543464511,3.40105175754221,3145728,924927,32768,3.40105,0,924928,5.4346451099363e-06,1.75754220999025e-06,1
7,3.40447490146083,3.40447490146083,3.40387811634349,3145728,923998,32768,3.40388,0,924160,0.000594901460829966,-1.88365650988231e-06,162
8,3.40534466669986,3.40534835309133,3.404821280133,3145728,923761,32768,3.40482,0,923904,0.000528353091330036,1.28013300004781e-06,143
9,3.40333677014239,3.40334045218791,3.40293547493769,3145728,924306,32768,3.40294,0,924416,0.000400452187909739,-4.52506231019001e-06,110
10,3.40099292497708,3.40100027893641,3.40011068068622,3145728,924942,32768,3.40011,0,925184,0.000890278936410027,6.80686219833859e-07,242
11,3.39744100674903,3.39744100674903,3.39729057229748,3145728,925911,32768,3.39729,0,925952,0.000151006749030014,5.72297480072592e-07,41
12,3.3888728491832,3.38887649999838,3.3888582460011,3145728,928251,32768,3.38886,0,928256,1.64999983796044e-05,-1.75399890034456e-06,5
13,3.38564860257271,3.38565589032368,3.38512396694215,3145728,929134,32768,3.38512,0,929280,0.000535890323679844,3.96694214988003e-06,146
14,3.3958052888897,3.39580895465674,3.39541309754076,3145728,926356,32768,3.39541,0,926464,0.000398954656740003,3.09754075988877e-06,108
15,3.42167961781777,3.42167217415707,3.42093541202673,3145728,919354,32768,3.42094,0,919552,0.000732174157070276,-4.58797326974292e-06,198
