frame,CR_matlab,inputBits,totalBits,CR_pad_per_frame,CR_pad_per_ramp,CR_vitis,MaxDiff_vitis,outBits_vitis,deltaCR,padBits,predErr
0,3.33117095594659,3145728,944331,3.33098400650583,3.2,3.33098,0,944384,0.000190955946590243,53,4.00650583021189e-06
1,3.32690456901967,3145728,945542,3.3264753654575,3.2,3.32648,0,945664,0.000424569019669807,122,-4.63454249999273e-06
2,3.32174739443089,3145728,947010,3.32108108108108,3.2,3.32108,0,947200,0.000667394430890145,190,1.08108108021199e-06
3,3.31233165772,3145728,949702,3.31212938005391,3.2,3.31213,0,949760,0.000201657720000359,58,-6.19946089575052e-07
4,3.30276454586211,3145728,952453,3.30233808116098,3.2,3.30234,0,952576,0.000424545862109937,123,-1.9188390201208e-06
5,3.31138325891024,3145728,949974,3.31123686337914,3.2,3.31124,0,950016,0.000143258910239918,42,-3.1366208603778e-06
6,3.32402539834165,3145728,946361,3.32377603462267,3.2,3.32378,0,946432,0.000245398341649938,71,-3.96537733005076e-06
7,3.32997907203475,3145728,944669,3.32917908425901,3.2,3.32918,0,944896,0.000799072034749937,227,-9.1574099014835e-07
8,3.32991914773798,3145728,944686,3.32917908425901,3.2,3.32918,0,944896,0.000739147737979895,210,-9.1574099014835e-07
9,3.32614826007103,3145728,945757,3.3255751014885,3.2,3.32558,0,945920,0.000568260071029947,163,-4.89851149998444e-06
10,3.32077606892103,3145728,947287,3.32018373412591,3.2,3.32018,0,947456,0.000596068921030035,169,3.73412590981559e-06
11,3.31257233057402,3145728,949633,3.31212938005391,3.2,3.31213,0,949760,0.000442330574020211,127,-6.19946089575052e-07
12,3.30185973964904,3145728,952714,3.30145083288555,3.2,3.30145,0,952832,0.00040973964904012,118,8.32885549861828e-07
13,3.31164819801705,3145728,949898,3.31123686337914,3.2,3.31124,0,950016,0.00040819801704961,118,-3.1366208603778e-06
14,3.33388938288039,3145728,943561,3.33369506239826,3.2,3.3337,0,943616,0.000189382880390276,55,-4.93760173991831e-06
15,3.37402824732714,3145728,932336,3.37397034596376,3.36842105263158,3.37397,0,932352,5.82473271402151e-05,16,3.45963760306489e-07
16,3.34704613066738,3145728,939852,3.34640522875817,3.2,3.34641,0,940032,0.000636130667380108,180,-4.77124183007049e-06
